License Plate No.,Time,car_type,Brand,Color,Camera_Entrance,Camera_Exit
1ขย1051,1,SUV/MPV,Mazda,White,CAM1,CAM2
4กข7761,1,Saloon,Suzuki,White,CAM1,CAM2
9กบ9852,1,SUV/MPV,Honda,White,CAM1,CAM2
1ขย1051,1,SUV/MPV,Mazda,White,CAM1,CAM2
1ขย1051,1,SUV/MPV,Mazda,White,CAM1,CAM2
2กต2776,1,Saloon,Honda,White,CAM1,CAM4
8กฒ3041,1,SUV/MPV,Mazda,White,CAM1,CAM2
ขษ3557,1,SUV/MPV,Nissan/Mitsubishi,White,CAM1,CAM2
1กผ3084,1,SUV/MPV,Nissan/Mitsubishi,White,CAM1,CAM4
ขก2435,1,SUV/MPV,Nissan/Mitsubishi,White,CAM1,CAM2
ขษ3557,1,Saloon,Nissan/Mitsubishi,White,CAM1,CAM2
1ขย1051,2,SUV/MPV,Mazda,White,CAM1,CAM2
1ขย1051,2,SUV/MPV,Mazda,White,CAM1,CAM2
3ขฒ7296,2,Saloon,Nissan/Mitsubishi,White,CAM1,CAM4
3ขฒ7296,2,Saloon,Nissan/Mitsubishi,White,CAM1,CAM4
1กญ6268,2,SUV/MPV,Toyota,Black/Gray,CAM1,CAM4
2กฌ5001,2,SUV/MPV,Mazda,Black/Gray,CAM1,CAM4
7กพ4033,2,SUV/MPV,Mazda,Black/Gray,CAM1,CAM2
1กร1415,3,SUV/MPV,Honda,White,CAM1,CAM2
1ขฉ7819,3,Saloon,Nissan/Mitsubishi,Black/Gray,CAM1,CAM4
7กฒ2076,3,Saloon,Honda,White,CAM1,CAM4
7กฒ2076,3,Saloon,Honda,White,CAM1,CAM4
5กฆ3854,3,Saloon,Toyota,White,CAM1,CAM2
7กฒ2076,3,Saloon,Honda,White,CAM1,CAM2
2ขพ8462,3,Saloon,Honda,Black/Gray,CAM1,CAM4
7กฒ2076,3,Saloon,Honda,White,CAM1,CAM2
4กข7761,3,SUV/MPV,Suzuki,White,CAM1,CAM2
2กฌ5001,3,SUV/MPV,Mazda,Black/Gray,CAM1,CAM4
4กพ3258,3,SUV/MPV,Honda,White,CAM1,CAM4
5กฎ4791,3,SUV/MPV,Mazda,White,CAM1,CAM4
2ขพ8462,4,Saloon,Honda,White,CAM1,CAM4
7กฒ2076,4,Saloon,Honda,White,CAM1,CAM4
